,Coefficient,P-Value
Intercept,0.049129665863685945,
TT,-0.08149533418254876,
JD,0.5768954549654807,
DB,0.1377756544327493,
JCA,-0.35813222463676986,
JCT,0.15944737061606906,
JCB,0.1437099558819397,
JCL,-0.04520106436376259,
CP,0.007517640354025801,
JR,-0.0493176561372386,
JAR,-0.6868805065406955,
JPT,-0.011988038241342869,
BPT,0.19099675979389663,
BPL,-0.001523698116419489,
PP,0.11013604685595224,
LP,0.6176648209008135,
TP,0.05452300362688334,
JBP,0.2584359941900196,
JBT,-0.0019102051452182939,
BBT,-0.3616141304038023,
BBL,0.022312714787693894,
PB,0.5080329285100678,
LB,0.5043309371093612,
TB,0.5998285710350197,
